,Capacity(MWh)
0,44157.873644539395
1,48887.50447973915
2,50045.836203265906
3,49408.955087607224
4,48465.797239431435
5,45899.73342925184
6,48747.57854442321
7,48846.734692830556
8,48501.114277062145
9,48238.795092569955
10,48700.433235281984
11,44681.25368676734
12,43633.40305245588
13,50327.1141775551
14,50316.12479054888
15,49366.92697394218
16,49217.521643727734
17,47201.682179913434
18,43127.55569636764
19,42431.784888507646
20,46445.67946464525
21,48307.83528727321
22,48344.8300939125
23,48095.01028853426
24,47186.16281658402
25,43362.695022920765
26,41485.94260991812
27,47114.01874921489
28,47006.47375576462
29,46760.84837290785
30,47518.780522535904
31,77171.36571145758
32,73849.21381631707
33,72125.2655921991
34,80201.30207481352
35,80974.00715299557
36,80961.11730785819
37,81522.09982335825
38,80261.3632681132
39,74612.32007365215
40,73141.9178459066
41,79714.23047983523
42,82309.20313281077
43,82757.87944440114
44,80634.6202730487
45,78817.8377387392
46,72648.12707633543
47,71827.01651588215
48,78082.29380983618
49,81074.65764587678
50,83574.60197246721
51,82924.76180112653
52,79952.82974088877
53,73951.64694735559
54,69707.0483688201
55,78147.97716963195
56,79327.39799970185
57,77137.49558646894
58,75297.40163010247
59,142493.09136955434
60,137152.60911068102
61,130384.8617839856
62,144762.5234050952
63,151094.89120372615
64,150694.08210983037
65,147226.64156990193
66,145107.1880344764
67,140004.53996556072
68,127820.41138166671
69,148507.5671306791
70,144846.22024571418
71,139301.1745906697
72,142732.22519989422
73,137862.47268748347
74,130917.71434072123
75,126597.44978193931
76,141197.0899803427
77,142844.5141289234
78,143205.8141551978
79,142292.68682260645
80,142624.3550481648
81,129732.70224015648
82,123492.08905251464
83,142832.5574374064
84,140550.6488541956
85,143241.6842297488
86,141064.52666134993
87,138766.7624654753
88,128367.30005453099
89,126542.60495780702
90,157202.39617999105
91,155920.6752314446
92,155805.38816199862
93,156751.70285703434
94,155154.63786559153
95,140319.90466482233
96,138321.03032839872
97,160512.37836501602
98,152801.4253304295
99,152826.85630163085
100,156946.67363624446
101,152716.09029373177
102,141358.61855522287
103,135207.71432066394
104,154232.90644271707
105,157210.02547135143
106,158147.86317598674
107,165208.34848051282
108,161605.06242763266
109,145810.45134718705
110,135004.26655105338
111,154559.83570582737
112,166660.7395024548
113,173841.31550432046
114,175034.59318635566
115,169109.45946279512
116,152059.12353769768
117,144448.1989898364
118,158788.72365025996
119,159505.59447179048
120,152203.2283307302
121,154694.77464381163
122,155896.1718668874
123,143387.02915905134
124,132210.2467950047
125,152829.63251348253
126,155188.5921960894
127,158756.52548065627
128,159396.18832645606
129,155051.6762062524
130,142617.4855323785
131,139649.7096894292
132,157187.67388169383
133,158712.42013215146
134,158574.69238743398
135,151361.1679347366
136,147038.84378126537
137,140133.24501322117
138,133591.3124316215
139,144251.81869169776
140,147469.07386790737
141,146853.22249860098
142,151170.40553782927
143,145480.27441078873
144,132448.0909749785
145,128171.76626473316
146,127896.04019033807
147,145152.5960240444
148,152477.8720652847
149,154801.11453315144
150,156260.1086382921
151,132437.8571345169
152,128573.65692607308
153,145837.57914724326
154,157191.70620928408
155,164240.84791106114
156,153377.35088497069
157,145134.37534073667
158,139778.49367338995
159,147830.8858371253
160,183238.1015440998
161,193841.37895450942
162,187461.966798818
163,165554.1628728307
164,154839.46748612958
165,141106.71323286518
166,134666.7053356819
167,154688.7111454018
168,162696.63385368744
169,164401.62209614847
170,156376.35141348408
171,147796.43422603517
172,141813.0934290467
173,145975.1412539365
174,160800.57355539317
175,156468.22237639112
176,150670.57820655522
177,150118.37507844373
178,150781.99618284672
179,143122.7433258067
180,142873.2745674873
181,127557.896390577
182,128550.13569308055
183,125518.95258174693
184,112795.49193152986
185,122866.30263698297
186,118358.13990912132
187,110830.46518503096
188,120507.570274278
189,125997.85733821894
190,133034.95619073237
191,139407.77407519057
192,142567.14493409326
193,135478.30413794803
194,130013.888045823
195,144751.7831631498
196,143001.89397175165
197,139933.55781066735
198,138484.19983322098
199,132881.6755456877
200,123136.68347024702
201,126031.70357202321
202,146109.13384985237
203,155769.70485936743
204,159039.56227459674
205,156781.59053896426
206,157237.93113956676
207,149936.6760485119
208,143532.3461532704
209,146808.8172003925
210,142490.11557440078
211,143851.74566997515
212,124708.83107194386
213,124372.09154140417
214,118817.98239746035
215,115827.51433385602
216,127551.77674549079
217,129263.10344967559
218,124095.80102654068
219,118379.43399841338
220,114957.7852828251
221,106668.56749052957
222,103587.50962780937
223,119400.20186423634
224,125883.31693330905
225,132817.53906119525
226,134846.8510306684
227,129368.42874291749
228,110835.02845467109
229,102947.3528773105
230,114902.5271798524
231,118244.80516571627
232,123708.32451054423
233,125438.74037757415
234,122977.7454097264
235,119534.16090174591
236,120353.48786491384
237,134044.26894718915
238,134421.19618898173
239,128882.99468074218
240,129612.56908877869
241,129337.45071549341
242,121129.61303848494
243,96137.96987749284
244,101620.00604639084
245,110979.96216863689
246,112362.39342005707
247,110801.06090379215
248,107928.14912218422
249,94639.45037196169
250,83291.55102497483
251,91145.76618926265
252,89581.02732751326
253,90945.06431331726
254,98299.22796048384
255,104730.27198135715
256,98789.60545642917
257,89115.31177287556
258,92105.5380929689
259,89920.43559158656
260,89617.54335110687
261,87310.35742756087
262,87779.7518353218
263,84976.32950159718
264,84039.85700100476
265,93275.95840143521
266,98682.23744675845
267,101540.02505441532
268,95420.59351846197
269,88698.64759321434
270,76632.14560282219
271,70750.61323550473
272,74993.14840951121
273,68108.13208416276
274,70657.66813408573
275,71223.01694180163
276,70117.46483629616
277,65676.42765080286
278,65461.293843655265
279,75228.3200977984
280,74905.80160091707
281,69896.5001862671
282,69357.14721973108
283,70464.03556006357
284,65093.22188676244
285,62100.78472963445
286,68728.50947157256
287,71391.62548179082
288,73501.29732184287
289,70833.20079999666
290,69274.1791845635
291,64250.66509038996
292,62904.59071602383
293,73840.09358843497
294,77220.76770075421
295,76952.0630246331
296,78701.07293728752
297,77926.17821351877
298,67360.20500872082
299,57938.41324351808
300,65237.89967575893
301,66838.46604672258
302,67483.26008869852
303,68019.6976337938
304,55346.39798639475
305,51012.26464829267
306,51445.20887774591
307,55696.760303006464
308,56430.713161515225
309,56904.1176417571
310,57354.26236429922
311,57446.12863420578
312,53203.76383593588
313,50384.93530092013
314,54666.48985901187
315,55766.73503625443
316,55458.68984184437
317,54817.58055398584
318,54728.1575359385
319,50896.649970314524
320,51282.683764070796
321,57208.44909334116
322,56737.976515330345
323,56526.586364470895
324,55919.19395226957
325,55696.85803308083
326,51504.531032887695
327,50376.823704747534
328,55290.49638385587
329,57209.2309339361
330,57773.13346304337
331,53996.745659363325
332,53505.456575511984
333,54920.9789726679
334,59878.54700895877
335,64424.58924139272
336,65503.608379553494
337,66646.31200768494
338,64491.78131084544
339,64098.0555139871
340,61134.1508516682
341,58549.61283270306
342,64046.09949290947
343,65526.298034327905
344,66190.76512245576
345,64687.00003139241
346,64203.61173402457
347,60203.21733476456
348,58932.59666739767
349,66066.57488641998
350,67732.12708109217
351,68310.8776956278
352,66830.898377927
353,66075.23422326626
354,61896.50132971657
355,60965.129365377674
356,66311.66700272712
357,62048.97142532624
358,58754.14856124918
359,64637.6746949263
360,63719.346541786224
361,60254.625296548125
362,59998.352770642
363,63115.056364147014
364,60575.56881915425
